Time,CISS,SPGSCISADJ,SRI,OIS3M,REALGDP,HICP
31/03/1970,,101.2989333,,,1017805.143,14.4222631
30/06/1970,,103.741,,,1037166.008,14.54698454
30/09/1970,,104.7936667,,,1050267.358,14.70304632
31/12/1970,,104.5703333,,,1063692.586,14.90208204
31/03/1971,,106.852,,,1060727.062,15.17873044
30/06/1971,,109.747,,,1074104.614,15.39485401
30/09/1971,,105.783,,,1091486.055,15.59830233
31/12/1971,,107.1856667,,,1100894.463,15.84932888
31/03/1972,,109.996,,,1116044.328,16.12121847
30/06/1972,,115.5786667,,,1123338.977,16.30921659
30/09/1972,,118.9923333,,,1139356.591,16.622558
31/12/1972,,132.1773333,,,1156798.749,16.98010191
31/03/1973,,149.124,,,1177842.188,17.34143274
30/06/1973,,166.1463333,,,1191889.848,17.7158369
30/09/1973,,200.323,,,1208955.056,18.1014037
31/12/1973,,196.7476667,,,1222971.884,18.59473019
31/03/1974,,234.8313333,,,1233794.267,19.23488684
30/06/1974,,204.3816667,,,1235784.559,19.83004526
30/09/1974,,236.3073333,,,1244921.575,20.43999547
31/12/1974,,274.105,,,1225894.335,21.1189216
31/03/1975,,220.2716667,,,1213188.202,21.46129337
30/06/1975,,197.147,,,1219213.196,21.93173257
30/09/1975,,204.705,,,1230814.457,22.34381733
31/12/1975,,191.1876667,,,1244642.282,22.78149921
31/03/1976,,179.163,,,1263646.738,23.39871707
30/06/1976,,191.953,,,1279646.67,24.03457217
30/09/1976,,173.4676667,,,1291163.905,24.46304408
31/12/1976,,153.655,,,1312769.006,25.14564032
31/03/1977,,159.398,,,1316808.107,25.83044112
30/06/1977,,165.1943333,,,1318323.938,26.42187894
30/09/1977,,145.2196667,,,1320121.662,26.99576075
31/12/1977,,151.267,,,1336794.924,27.47006371
31/03/1978,,164.0133333,,,1343989.985,27.96453607
30/06/1978,,181.3653333,,,1359058.489,28.48032909
30/09/1978,,181.9016667,,,1366211.89,28.97715489
31/12/1978,,194.5456667,,,1383395.82,29.44346744
31/03/1979,,206.4066667,,,1389013.695,30.13455538
30/06/1979,,208.9143333,,,1410988.828,30.74313232
30/09/1979,,212.1663333,,,1419005.491,31.52454315
31/12/1979,,227.416,,,1433430.179,32.34880478
31/03/1980,0.096905952,243.5783333,,,1445452.45,33.47025937
30/06/1980,0.271748138,232.6033333,,,1438383.303,34.25006034
30/09/1980,0.045669576,270.1696667,,,1438393.332,35.08752285
31/12/1980,0.218155045,284.8726667,,,1440019.993,35.98219151
31/03/1981,0.245524953,253.4576667,,,1439908.52,37.16650661
30/06/1981,0.246004015,240.4276667,,,1443938.818,38.06150556
30/09/1981,0.339536909,229.2436667,,,1448758.583,39.08084197
31/12/1981,0.41257647,214.4993333,,,1453117.672,40.14801891
31/03/1982,0.110332188,212.4446667,,,1457603.81,41.15169713
30/06/1982,0.063289369,215.6253333,,,1459278.284,41.99838362
30/09/1982,0.154611091,208.7903333,,,1452332.833,42.86911365
31/12/1982,0.093223515,199.9786667,,,1453916.084,43.73229773
31/03/1983,0.052474094,203.3186667,,,1462072.447,44.6320985
30/06/1983,0.060087385,207.459,,,1471350.898,45.28440414
30/09/1983,0.020896106,213.157,,,1476025.119,46.10781773
31/12/1983,0.008983985,208.1143333,,,1493153.573,46.94637832
31/03/1984,0.026232231,211.828,,,1504413.877,47.79986439
30/06/1984,0.013605292,211.943,,,1497011.396,48.30984446
30/09/1984,0.014965323,200.2486667,,,1513318.736,48.87031574
31/12/1984,0.011433803,197.623,,,1522068.463,49.53900932
31/03/1985,0.036023063,193.747,,,1523900.213,50.38037422
30/06/1985,0.018169862,186.8373333,,,1538139.619,50.92747138
30/09/1985,0.017070333,179.119,,5.997808638,1552055.796,51.25578018
31/12/1985,0.057467576,195.0413333,,6.123704695,1562340.736,51.72919917
31/03/1986,0.130337391,171.4886667,,5.878728492,1555389.572,52.15133932
30/06/1986,0.162899554,155.5453333,,5.863919749,1583597.708,52.22132691
30/09/1986,0.096177742,157.8086667,,5.864980355,1592561.573,52.43991101
31/12/1986,0.047380636,158.271,,5.998704695,1597560.426,52.67105842
31/03/1987,0.107362609,161.943,,5.472014987,1588237.777,53.16830652
30/06/1987,0.024226415,170.8666667,,5.086218599,1614679.138,53.38823448
30/09/1987,0.018018212,176.0643333,,5.230889446,1632961.552,53.73750391
31/12/1987,0.183256227,169.2683333,,5.42518959,1654869.611,54.06402114
31/03/1988,0.145795138,168.3943333,,4.689909332,1662275.116,54.45551328
30/06/1988,0.070874785,175.1726667,,4.91810054,1677227.188,54.70734364
30/09/1988,0.050987848,168.8436667,,6.378616718,1698981.728,55.20469751
31/12/1988,0.023274123,168.8203333,,6.41566578,1715827.827,55.68225457
31/03/1989,0.019238369,187.3253333,,7.522014987,1734174.779,56.41035602
30/06/1989,0.015361338,191.8216667,,8.107417016,1750317.786,56.91317111
30/09/1989,0.008830369,184.4056667,,8.451099236,1761800.915,57.39258888
31/12/1989,0.055514108,191.7486667,,9.444672437,1781336.155,57.96902012
31/03/1990,0.041109015,200.2403333,0.139,9.632878082,1803606.06,58.70968601
30/06/1990,0.010492815,191.8173333,0.129,9.567253082,1811487.119,59.06094224
30/09/1990,0.065384677,220.889,0.047,9.660022313,1829343.328,59.69103984
31/12/1990,0.085051667,232.6446667,0.107,10.1406957,1840910.725,60.51703528
31/03/1991,0.183121594,198.3613333,0.128,10.4435434,1851702.369,61.1515626
30/06/1991,0.039769446,193.185,0.101,10.37608642,1856838.681,61.59424172
30/09/1991,0.093848909,189.9906667,0.108,10.50998035,1857397.445,62.47121536
31/12/1991,0.041486606,189.1326667,0.044,10.72463013,1876300.448,63.03180778
31/03/1992,0.091218954,184.1293333,0.02,10.88225308,1902640.953,63.71779493
30/06/1992,0.049162538,190.52,0.014,11.028948,1887747.602,64.20003375
30/09/1992,0.223640167,186.87,-0.03,10.98604096,1883548.206,64.60122632
31/12/1992,0.293524045,181.986,-0.075,10.24209179,1881024.141,65.09268688
31/03/1993,0.110128109,185.65,-0.046,9.572967368,1866262.379,65.89872463
30/06/1993,0.019280662,181.6526667,-0.104,8.947253082,1867280.715,66.32674458
30/09/1993,0.062796955,174.592,-0.06,8.091495506,1876105.222,66.85143576
31/12/1993,0.010689455,170.4186667,-0.067,7.623284828,1882261.023,67.24887579
31/03/1994,0.020774156,173.096,-0.094,6.767400658,1897724.225,67.91165553
30/06/1994,0.020193185,173.72,-0.121,6.297400658,1909169.56,68.21549072
30/09/1994,0.023569152,175.9383333,-0.154,6.310734658,1923136.146,68.69421915
31/12/1994,0.034035877,175.7353333,-0.142,6.434067658,1939675.834,69.0464811
31/03/1995,0.026730569,177.9603333,-0.213,6.870733658,1948181.238,69.6617871
30/06/1995,0.043247538,179.213,-0.197,7.064067658,1959388.521,70.05495077
30/09/1995,0.012623954,178.817,-0.165,6.620733658,1966241.654,70.44358975
31/12/1995,0.014294246,187.4363333,-0.205,6.434067658,1973125.651,70.79400221
31/03/1996,0.007231892,198.235,-0.233,5.557400658,1975630.785,71.40265963
30/06/1996,0.0079208,205.947,-0.193,5.064067658,1989823.406,71.7812678
30/09/1996,0.014255788,202.4406667,-0.233,4.927400658,1999540.97,71.95417421
31/12/1996,0.019628182,212.436,-0.212,4.514067658,2009347.518,72.27909709
31/03/1997,0.022348953,202.8806667,-0.139,4.367400658,2014369.158,72.79401333
30/06/1997,0.017785877,190.844,-0.094,4.254067658,2038844.093,72.84722667
30/09/1997,0.028614076,192.4046667,-0.016,4.250733658,2055431.836,73.18949667
31/12/1997,0.034409636,194.0823333,0.007,4.360733658,2078564.598,73.48531667
31/03/1998,0.019971422,170.513,0.177,4.130733658,2092187.694,73.55055667
30/06/1998,0.009662708,159.852,0.213,3.984067658,2101343.229,73.79661
30/09/1998,0.108029758,145.7203333,0.136,3.864067658,2113291.798,73.96045
31/12/1998,0.259969,141.054,0.225,3.550733658,2116352.305,74.04211667
31/03/1999,0.177227719,139.408,0.227,3.005,2137936.679,74.10775
30/06/1999,0.078458708,156.073,0.258,2.57271875,2149173.231,74.49463
30/09/1999,0.189517091,175.521,0.319,2.652954545,2175326.063,74.78279333
31/12/1999,0.190074045,190.3183333,0.393,3.115318182,2199785.48,75.16342333
31/03/2000,0.195222969,211.2873333,0.46,3.475307692,2226604.225,75.59044333
30/06/2000,0.294169631,215.2573333,0.422,4.217904762,2246445.057,75.90069
30/09/2000,0.179226892,231.426,0.449,4.677661538,2260108.167,76.45757
31/12/2000,0.242645585,247.7736667,0.396,4.917846154,2274546.616,76.92165667
31/03/2001,0.264037138,232.5786667,0.286,4.675125,2296569.543,77.09153667
30/06/2001,0.270716754,217.8336667,0.193,4.528539683,2299407.802,77.84152667
30/09/2001,0.214216815,199.7746667,0.144,4.189630769,2302832.79,78.17995
31/12/2001,0.235103833,173.1733333,0.081,3.349984615,2303470.771,78.35720333
31/03/2002,0.140225375,179.4803333,0.127638057,3.293403226,2306833.452,79.04041
30/06/2002,0.061668708,197.6126667,0.068536896,3.384578125,2319062.565,79.46730667
30/09/2002,0.164686394,210.8476667,-0.040840808,3.285378788,2328766.039,79.81441333
31/12/2002,0.163662803,223.441,-0.099488597,2.989742424,2332684.888,80.14336
31/03/2003,0.157197922,253.789,-0.174266506,2.597460317,2325264.959,80.85657
30/06/2003,0.176512462,226.2376667,-0.130338966,2.279861538,2327362.627,81.01267333
30/09/2003,0.077014348,232.8723333,-0.108456653,2.067818182,2341159.421,81.42631667
31/12/2003,0.048009167,251.8936667,-0.053626223,2.069439394,2357184.757,81.75761667
31/03/2004,0.023748754,275.3013333,-0.050321745,1.995846154,2369026.588,82.25703
30/06/2004,0.046253077,289.7626667,-0.018569691,2.023838462,2383579.517,82.87623667
30/09/2004,0.02797797,304.0536667,0.05941476,2.056651515,2389412.375,83.26611333
31/12/2004,0.021605379,339.9946667,0.083089332,2.089204848,2398163.958,83.62383
31/03/2005,0.011594422,351.5443333,0.132405452,2.075476094,2403149.136,83.96340667
30/06/2005,0.023873262,361.7,0.209644041,2.065861538,2417975.751,84.53570667
30/09/2005,0.014995379,419.9493333,0.303251754,2.075636364,2436872.261,85.20133333
31/12/2005,0.013345031,437.92,0.375178118,2.276615385,2451874.803,85.53961667
31/03/2006,0.026111262,446.264,0.534023055,2.553153846,2472659.367,85.91755
30/06/2006,0.042131846,461.0143333,0.476465973,2.820430769,2500472.655,86.58085
30/09/2006,0.025734138,457.8246667,0.506829538,3.155538462,2516010.792,87.04685667
31/12/2006,0.006442,447.262,0.511420739,3.525092308,2544982.192,87.05520333
31/03/2007,0.029471723,449.3003333,0.520140721,3.756307692,2560044.762,87.53006
30/06/2007,0.007238415,459.2833333,0.535414239,4.005753846,2578625.395,88.25138333
30/09/2007,0.151757446,493.9183333,0.515551374,4.130938462,2589993.726,88.69666333
31/12/2007,0.168203924,597.852,0.471544696,4.041272727,2603576.539,89.55715333
31/03/2008,0.441155015,673.911,0.385826417,3.985830769,2616721.346,90.44640667
30/06/2008,0.363487046,746.6856667,0.35777828,4.084492308,2607292.659,91.45480333
30/09/2008,0.402184015,707.038,0.303335193,4.293378788,2594360.924,92.09667
31/12/2008,0.900616818,423.7116667,0.219695612,2.616121212,2547308.008,91.59231667
31/03/2009,0.8582575,354.07,0.143061852,1.04384375,2468375.455,91.34800667
30/06/2009,0.635651169,396.82,0.107755383,0.725430769,2467361.448,91.58389333
30/09/2009,0.395440833,441.9716667,0.078192814,0.415363636,2477067.434,91.7538
31/12/2009,0.342213212,515.9063333,0.00999933,0.413393939,2488784.218,91.94914333
31/03/2010,0.209448484,527.674,-0.050520708,0.352367188,2498486.753,92.43211333
30/06/2010,0.398146692,497.614,-0.132039873,0.393938462,2522674.393,93.02153333
30/09/2010,0.402858379,510.8526667,-0.171392296,0.519712121,2533887.78,93.31452667
31/12/2010,0.312870803,599.7866667,-0.201698064,0.702363636,2549091.638,93.79611667
31/03/2011,0.208337422,675.1743333,-0.223763847,0.809023438,2571005.244,94.78959333
30/06/2011,0.2826836,690.0043333,-0.263885759,1.171507937,2571128.716,95.47279
30/09/2011,0.525543242,655.7576667,-0.319180302,0.979318182,2574693.041,95.89678333
31/12/2011,0.586101692,654.2036667,-0.299464036,0.60053125,2564170.774,96.50034
31/03/2012,0.375601138,686.4906667,-0.233108741,0.339130769,2557924.356,97.35664667
