Time,CPI,FEDFUNDS,REALGDP,CISS,SPGSCISADJ,SRI
31/03/1947,21.7,,545670,,,
30/06/1947,22.01,,544223,,,
30/09/1947,22.49,,543108,,,
31/12/1947,23.12666667,,551613,,,
31/03/1948,23.61666667,,559921,,,
30/06/1948,23.99333333,,569173,,,
30/09/1948,24.39666667,,572443,,,
31/12/1948,24.17333333,,573091,,,
31/03/1949,23.94333333,,565202,,,
30/06/1949,23.91666667,,563282,,,
30/09/1949,23.71666667,,569106,,,
31/12/1949,23.66,,564338,,,
31/03/1950,23.58666667,,586526,,,
30/06/1950,23.76666667,,604421,,,
30/09/1950,24.20333333,,627782,,,
31/12/1950,24.69333333,,639804,,,
31/03/1951,25.69666667,,648492,,,
30/06/1951,25.94666667,,659725,,,
30/09/1951,25.93333333,,673315,,,
31/12/1951,26.31666667,,674789,,,
31/03/1952,26.41666667,,681989,,,
30/06/1952,26.48666667,,683450,,,
30/09/1952,26.66666667,,688379,,,
31/12/1952,26.69666667,,710985,,,
31/03/1953,26.62,,724203,,,
30/06/1953,26.72,,729802,,,
30/09/1953,26.84333333,,725696,,,
31/12/1953,26.89,,714711,,,
31/03/1954,26.95333333,,711298,,,
30/06/1954,26.91,,712076,,,
30/09/1954,26.84,1.028478261,720121,,,
31/12/1954,26.75666667,0.988369565,734213,,,
31/03/1955,26.79333333,1.345,755187,,,
30/06/1955,26.75666667,1.501098901,767478,,,
30/09/1955,26.77666667,1.936521739,777845,,,
31/12/1955,26.85666667,2.359021739,782517,,,
31/03/1956,26.86,2.482307692,779481,,,
30/06/1956,27.03666667,2.694505495,785924,,,
30/09/1956,27.31666667,2.808586957,785219,,,
31/12/1956,27.55,2.929891304,798143,,,
31/03/1957,27.77666667,2.933,803253,,,
30/06/1957,28.01333333,3,801493,,,
30/09/1957,28.26333333,3.23076087,809347,,,
31/12/1957,28.4,3.252717391,800974,,,
31/03/1958,28.73666667,1.869777778,780181,,,
30/06/1958,28.93,0.936923077,785306,,,
30/09/1958,28.91333333,1.318913043,803471,,,
31/12/1958,28.94333333,2.163369565,822258,,,
31/03/1959,28.99333333,2.577,838032,,,
30/06/1959,29.04333333,3.07967033,856917,,,
30/09/1959,29.19333333,3.573369565,857514,,,
31/12/1959,29.37,3.991847826,859958,,,
31/03/1960,29.39666667,3.931318681,879295,,,
30/06/1960,29.57333333,3.695054945,874562,,,
30/09/1960,29.59,2.9375,878846,,,
31/12/1960,29.78,2.296195652,867570,,,
31/03/1961,29.84,1.987555556,873426,,,
30/06/1961,29.83,1.733516484,888255,,,
30/09/1961,29.94666667,1.679347826,905313,,,
31/12/1961,29.99,2.39673913,923072,,,
31/03/1962,30.10666667,2.458333333,939537,,,
30/06/1962,30.22,2.607142857,948037,,,
30/09/1962,30.30666667,2.845108696,959694,,,
31/12/1962,30.38,2.924021739,962855,,,
31/03/1963,30.47666667,2.965666667,973371,,,
30/06/1963,30.53333333,2.964505495,984296,,,
30/09/1963,30.72,3.326521739,1005939,,,
31/12/1963,30.80333333,3.451304348,1012537,,,
31/03/1964,30.93,3.464395604,1033888,,,
30/06/1964,30.98,3.487912088,1045148,,,
30/09/1964,31.05,3.456521739,1061480,,,
31/12/1964,31.19333333,3.575108696,1064762,,,
31/03/1965,31.29,3.977222222,1090528,,,
30/06/1965,31.49,4.079450549,1104306,,,
30/09/1965,31.58333333,4.0775,1128857,,,
31/12/1965,31.75,4.17076087,1154865,,,
31/03/1966,32.04666667,4.559,1182972,,,
30/06/1966,32.33666667,4.913736264,1187012,,,
30/09/1966,32.61666667,5.410652174,1197064,,,
31/12/1966,32.88333333,5.559782609,1206884,,,
31/03/1967,32.96666667,4.819444444,1217575,,,
30/06/1967,33.16666667,3.992307692,1218322,,,
30/09/1967,33.5,3.891847826,1229848,,,
31/12/1967,33.86666667,4.172826087,1239119,,,
31/03/1968,34.2,4.792637363,1264388,,,
30/06/1968,34.53333333,5.984285714,1285508,,,
30/09/1968,35,5.946521739,1295465,,,
31/12/1968,35.43333333,5.918152174,1300553,,,
31/03/1969,35.86666667,6.567444444,1320899,,,
